#source_node	source_class	dest_node	dest_class	edge_class
24174	R	24521	R	R->R
24174	R	24522	R	R->R
24174	R	24523	R	R->R
24174	R	24524	R	R->R
24174	R	24525	R	R->R
24174	R	24526	R	R->R
24174	R	24527	R	R->R
24174	R	24528	R	R->R
24174	R	24174	R	R->R
24174	R	24529	R	R->R
24174	R	24530	R	R->R
24174	R	24531	R	R->R
24174	R	24532	R	R->R
24174	R	24533	R	R->R
24174	R	24534	R	R->R
24174	R	24535	R	R->R
24174	R	24536	R	R->R
24174	R	24537	R	R->R
24174	R	24538	R	R->R
24174	R	24539	R	R->R
24174	R	24540	R	R->R
24174	R	24541	R	R->R
24174	R	24542	R	R->R
24174	R	24543	R	R->R
24174	R	24544	R	R->R
24174	R	24545	R	R->R
24174	R	24546	R	R->R
24174	R	24547	R	R->R
24174	R	24548	R	R->R
24174	R	24549	R	R->R
24174	R	24550	R	R->R
24174	R	24551	R	R->R
24174	R	24552	R	R->R
24174	R	24553	R	R->R
24174	R	24554	R	R->R
24174	R	24555	R	R->R
24174	R	24556	R	R->R
24174	R	24557	R	R->R
24174	R	24558	R	R->R
24174	R	24559	R	R->R
24174	R	24560	R	R->R
24174	R	24561	R	R->R
24174	R	24562	R	R->R
24174	R	24563	R	R->R
24174	R	24564	R	R->R
24174	R	24565	R	R->R
24174	R	24566	R	R->R
24174	R	24567	R	R->R
24174	R	24568	R	R->R
24174	R	24569	R	R->R
24174	R	24570	R	R->R
24174	R	24571	R	R->R
24174	R	24572	R	R->R
24174	R	24573	R	R->R
24174	R	24574	R	R->R
24174	R	24575	R	R->R
24174	R	24576	R	R->R
24174	R	24577	R	R->R
24174	R	24578	R	R->R
24174	R	24579	R	R->R
24174	R	24580	R	R->R
24174	R	24581	R	R->R
24174	R	24582	R	R->R
24174	R	24583	R	R->R
24174	R	24584	R	R->R
24174	R	24585	R	R->R
24174	R	24586	R	R->R
24174	R	24587	R	R->R
24174	R	24588	R	R->R
24174	R	24589	R	R->R
24174	R	24590	R	R->R
24174	R	24591	R	R->R
24174	R	24592	R	R->R
24174	R	24593	R	R->R
24174	R	24594	R	R->R
24174	R	24595	R	R->R
24174	R	24596	R	R->R
24174	R	24597	R	R->R
24174	R	24598	R	R->R
24174	R	24599	R	R->R
24174	R	24600	R	R->R
24174	R	24601	R	R->R
24174	R	24602	R	R->R
24174	R	24603	R	R->R
24174	R	24604	R	R->R
24174	R	24605	R	R->R
24174	R	24606	R	R->R
24174	R	24607	R	R->R
24174	R	24608	R	R->R
24174	R	24609	R	R->R
24174	R	24610	R	R->R
24174	R	24611	R	R->R
24174	R	24612	R	R->R
24174	R	24613	R	R->R
24174	R	24614	R	R->R
24174	R	24615	R	R->R
24174	R	24616	R	R->R
24174	R	24617	R	R->R
24174	R	24618	R	R->R
24174	R	24619	R	R->R
24174	R	24620	R	R->R
24174	R	24621	R	R->R
24174	R	24622	R	R->R
24174	R	24623	R	R->R
24174	R	24624	R	R->R
24174	R	24625	R	R->R
24174	R	24626	R	R->R
24174	R	24627	R	R->R
24174	R	24628	R	R->R
24174	R	24629	R	R->R
24174	R	24630	R	R->R
24174	R	24631	R	R->R
24174	R	24632	R	R->R
24174	R	24633	R	R->R
24174	R	24634	R	R->R
24174	R	24635	R	R->R
24174	R	24636	R	R->R
24174	R	24637	R	R->R
24174	R	24638	R	R->R
24174	R	24639	R	R->R
24174	R	24640	R	R->R
24174	R	24641	R	R->R
24174	R	24642	R	R->R
24174	R	24643	R	R->R
24174	R	24644	R	R->R
24174	R	24645	R	R->R
24174	R	24646	R	R->R
24174	R	24647	R	R->R
24174	R	24648	R	R->R
24174	R	24649	R	R->R
24174	R	24650	R	R->R
24174	R	24651	R	R->R
24174	R	24652	R	R->R
24174	R	24653	R	R->R
24174	R	24654	R	R->R
24174	R	24655	R	R->R
24174	R	24656	R	R->R
24174	R	24657	R	R->R
24174	R	24658	R	R->R
24174	R	24659	R	R->R
24174	R	24660	R	R->R
24174	R	24661	R	R->R
24174	R	24662	R	R->R
24174	R	24663	R	R->R
24174	R	24664	R	R->R
24174	R	24665	R	R->R
24174	R	24666	R	R->R
24174	R	24667	R	R->R
24174	R	24668	R	R->R
24174	R	24669	R	R->R
24174	R	24670	R	R->R
24174	R	24671	R	R->R
24174	R	24672	R	R->R
24174	R	24673	R	R->R
24174	R	24674	R	R->R
24174	R	24675	R	R->R
24174	R	24676	R	R->R
24174	R	24677	R	R->R
24174	R	24678	R	R->R
24174	R	24679	R	R->R
24174	R	24680	R	R->R
24174	R	24681	R	R->R
24174	R	24682	R	R->R
24174	R	24683	R	R->R
24174	R	24684	R	R->R
24174	R	24685	R	R->R
24174	R	24686	R	R->R
24174	R	24687	R	R->R
24174	R	24688	R	R->R
24174	R	24689	R	R->R
24174	R	24690	R	R->R
24174	R	24691	R	R->R
24174	R	24692	R	R->R
24174	R	24693	R	R->R
24174	R	24694	R	R->R
24174	R	24695	R	R->R
24174	R	24696	R	R->R
24174	R	24697	R	R->R
24174	R	24698	R	R->R
24174	R	24699	R	R->R
24174	R	24700	R	R->R
24174	R	24701	R	R->R
24174	R	24702	R	R->R
24174	R	24703	R	R->R
24174	R	24704	R	R->R
24174	R	24705	R	R->R
24174	R	24706	R	R->R
24174	R	24707	R	R->R
24174	R	24708	R	R->R
24174	R	24709	R	R->R
24174	R	24710	R	R->R
24174	R	24711	R	R->R
24174	R	24712	R	R->R
24174	R	24713	R	R->R
24174	R	24714	R	R->R
24174	R	24715	R	R->R
24174	R	24716	R	R->R
24174	R	24717	R	R->R
24174	R	24718	R	R->R
24174	R	24719	R	R->R
24174	R	24720	R	R->R
24174	R	24721	R	R->R
24174	R	24722	R	R->R
24174	R	24723	R	R->R
24174	R	24724	R	R->R
24174	R	24725	R	R->R
24174	R	24726	R	R->R
24174	R	24727	R	R->R
24174	R	24728	R	R->R
24174	R	24729	R	R->R
24174	R	24730	R	R->R
24174	R	24731	R	R->R
24174	R	24732	R	R->R
24174	R	24733	R	R->R
24174	R	24734	R	R->R
24174	R	24735	R	R->R
24174	R	24736	R	R->R
24174	R	24737	R	R->R
24174	R	24738	R	R->R
24174	R	24739	R	R->R
24174	R	24740	R	R->R
24174	R	24741	R	R->R
24174	R	24742	R	R->R
24174	R	24743	R	R->R
24174	R	24744	R	R->R
24174	R	24745	R	R->R
24174	R	24746	R	R->R
24174	R	24747	R	R->R
24174	R	24748	R	R->R
24174	R	24749	R	R->R
24174	R	24750	R	R->R
24174	R	24751	R	R->R
24174	R	24752	R	R->R
24174	R	24753	R	R->R
24174	R	24754	R	R->R
24174	R	24755	R	R->R
24174	R	24756	R	R->R
24174	R	24757	R	R->R
24174	R	24758	R	R->R
24174	R	24759	R	R->R
24174	R	24760	R	R->R
24174	R	24761	R	R->R
24174	R	24762	R	R->R
24174	R	24763	R	R->R
24174	R	24764	R	R->R
24174	R	24765	R	R->R
24174	R	24766	R	R->R
24174	R	24767	R	R->R
24174	R	24768	R	R->R
24174	R	24769	R	R->R
24174	R	24770	R	R->R
24174	R	24771	R	R->R
24174	R	24772	R	R->R
24174	R	24773	R	R->R
24174	R	24774	R	R->R
24174	R	24775	R	R->R
24174	R	24776	R	R->R
24174	R	24777	R	R->R
24174	R	24778	R	R->R
24174	R	24779	R	R->R
24174	R	24780	R	R->R
24174	R	24781	R	R->R
24174	R	24782	R	R->R
24174	R	24783	R	R->R
24174	R	24784	R	R->R
24174	R	24785	R	R->R
24174	R	24786	R	R->R
24174	R	24787	R	R->R
24174	R	24788	R	R->R
24174	R	24789	R	R->R
24174	R	24790	R	R->R
24174	R	24791	R	R->R
24174	R	24792	R	R->R
24174	R	24793	R	R->R
24174	R	24794	R	R->R
24174	R	24795	R	R->R
24174	R	24796	R	R->R
24174	R	24797	R	R->R
24174	R	24798	R	R->R
24174	R	24799	R	R->R
24174	R	24800	R	R->R
24174	R	24801	R	R->R
24174	R	24802	R	R->R
24174	R	24803	R	R->R
24174	R	24804	R	R->R
24174	R	24805	R	R->R
24174	R	24806	R	R->R
24174	R	24807	R	R->R
24174	R	24808	R	R->R
24174	R	24809	R	R->R
24174	R	24810	R	R->R
24174	R	24811	R	R->R
24174	R	24812	R	R->R
24174	R	24813	R	R->R
24174	R	24814	R	R->R
24174	R	24815	R	R->R
24174	R	24816	R	R->R
24174	R	24817	R	R->R
24174	R	24818	R	R->R
24174	R	24819	R	R->R
24174	R	24820	R	R->R
24174	R	24821	R	R->R
24174	R	24822	R	R->R
24174	R	24823	R	R->R
24174	R	24824	R	R->R
24174	R	24825	R	R->R
24174	R	24826	R	R->R
24174	R	24827	R	R->R
24174	R	24828	R	R->R
24174	R	24829	R	R->R
24174	R	24830	R	R->R
24174	R	24831	R	R->R
24174	R	24832	R	R->R
24174	R	24833	R	R->R
24174	R	24834	R	R->R
24174	R	24835	R	R->R
24174	R	24836	R	R->R
24174	R	24837	R	R->R
24174	R	24838	R	R->R
24174	R	24839	R	R->R
24174	R	24840	R	R->R
24174	R	24841	R	R->R
24174	R	24842	R	R->R
24174	R	24843	R	R->R
24174	R	24844	R	R->R
24174	R	24845	R	R->R
24174	R	24846	R	R->R
24174	R	24847	R	R->R
24174	R	24848	R	R->R
24174	R	24849	R	R->R
24174	R	24850	R	R->R
24174	R	24851	R	R->R
24174	R	24852	R	R->R
24174	R	24853	R	R->R
24174	R	24854	R	R->R
24174	R	24855	R	R->R
24174	R	24856	R	R->R
24174	R	24857	R	R->R
24174	R	24858	R	R->R
24174	R	24859	R	R->R
24174	R	24860	R	R->R
24174	R	24861	R	R->R
24174	R	24862	R	R->R
24174	R	24863	R	R->R
24174	R	24864	R	R->R
24174	R	24865	R	R->R
24174	R	24866	R	R->R
24174	R	24867	R	R->R
24174	R	24868	R	R->R
24174	R	24869	R	R->R
24174	R	24870	R	R->R
24174	R	24871	R	R->R
24174	R	24872	R	R->R
24174	R	24873	R	R->R
24174	R	24874	R	R->R
24174	R	24875	R	R->R
24174	R	24876	R	R->R
24174	R	24877	R	R->R
24174	R	24878	R	R->R
24174	R	24879	R	R->R
24174	R	24880	R	R->R
24174	R	24881	R	R->R
24174	R	24882	R	R->R
24174	R	24883	R	R->R
24174	R	24884	R	R->R
24174	R	24885	R	R->R
24174	R	24886	R	R->R
24174	R	24887	R	R->R
24174	R	24888	R	R->R
24174	R	24889	R	R->R
24174	R	24890	R	R->R
24174	R	24891	R	R->R
24174	R	24892	R	R->R
24174	R	24893	R	R->R
24174	R	24894	R	R->R
24174	R	24895	R	R->R
24174	R	24896	R	R->R
24174	R	24897	R	R->R
24174	R	24898	R	R->R
24174	R	24899	R	R->R
24174	R	24900	R	R->R
24174	R	24901	R	R->R
24174	R	24902	R	R->R
24174	R	24903	R	R->R
24174	R	24904	R	R->R
24174	R	24905	R	R->R
24174	R	24906	R	R->R
24174	R	24907	R	R->R
24174	R	24908	R	R->R
24174	R	24909	R	R->R
24174	R	24910	R	R->R
24174	R	24911	R	R->R
24174	R	24912	R	R->R
24174	R	24913	R	R->R
24174	R	24914	R	R->R
24174	R	24915	R	R->R
24174	R	24916	R	R->R
24174	R	24917	R	R->R
24174	R	24918	R	R->R
24174	R	24919	R	R->R
24174	R	24920	R	R->R
24174	R	24921	R	R->R
24174	R	24922	R	R->R
24174	R	24923	R	R->R
24174	R	24924	R	R->R
24174	R	24925	R	R->R
24174	R	24926	R	R->R
24174	R	24927	R	R->R
24174	R	24928	R	R->R
24174	R	24929	R	R->R
24174	R	24930	R	R->R
24174	R	24931	R	R->R
